iter	Logloss
0	0.6732228948
1	0.6518590322
2	0.6321058688
3	0.6165204234
4	0.6021830023
5	0.5865110985
6	0.5742406561
7	0.5628736083
8	0.5523483422
9	0.5426745308
10	0.533643763
11	0.5236214287
12	0.5159650784
13	0.50885299
14	0.5008031619
15	0.4947731436
16	0.4879775413
17	0.4828649151
18	0.4781129379
19	0.4713104489
20	0.4661778979
21	0.4602051307
22	0.4548426222
23	0.4499308609
24	0.4454642116
25	0.4412916263
26	0.4378347746
27	0.4346953124
28	0.4317445332
29	0.4287060054
30	0.4258919407
31	0.4232555171
32	0.4211259176
33	0.4191434244
34	0.4174408242
35	0.4157514626
36	0.4138753302
37	0.4120800335
38	0.4103966478
39	0.4090724345
40	0.4075419972
41	0.4058267826
42	0.4041850919
43	0.4026466559
44	0.4012448949
45	0.4001935939
46	0.3989935653
47	0.3974714671
48	0.3960704546
49	0.3947477183
50	0.3935257121
51	0.3923811586
52	0.3914182319
53	0.390445494
54	0.3894784049
55	0.3886399154
56	0.387557289
57	0.3868764335
58	0.3860312001
59	0.3853266888
60	0.3846459869
61	0.3838828629
62	0.3832086492
63	0.3826263671
64	0.3819149911
65	0.381316699
66	0.3809219922
67	0.3803369173
68	0.379772205
69	0.3793157875
70	0.3790093264
71	0.3786117286
72	0.378338216
73	0.3780215008
74	0.3776266217
75	0.3773705012
76	0.3771061967
77	0.3768597286
78	0.3765863066
79	0.3763565681
80	0.3760421098
81	0.3757340828
82	0.3755630124
83	0.3754166782
84	0.3751770849
85	0.3749955448
86	0.3748158361
87	0.3746704972
88	0.3745975939
89	0.3743573777
90	0.3742102818
91	0.374090454
92	0.3739060575
93	0.3737121297
94	0.3736144436
95	0.3734233287
96	0.373340074
97	0.3731760468
98	0.3730990779
99	0.3729783964
100	0.3728960129
101	0.3727680649
102	0.372671787
103	0.3725815701
104	0.3724410704
105	0.3724010276
106	0.372355081
107	0.3722464519
108	0.3721960648
109	0.3720815317
110	0.3720245474
111	0.3719192794
112	0.371846884
113	0.3717898643
114	0.3717329185
115	0.3716520027
116	0.3715789408
117	0.3715402093
118	0.3714570032
119	0.3714195094
120	0.371386866
121	0.3713162566
122	0.3712613179
123	0.3712330749
124	0.371183628
125	0.3711334172
126	0.3710989881
127	0.3710635322
128	0.3710455281
129	0.3709720736
130	0.3709145999
131	0.3708292615
132	0.3707724356
133	0.3707379501
134	0.3707162152
135	0.3706791619
136	0.3706569718
137	0.3706263976
138	0.3705858712
139	0.3705801925
140	0.3705432195
141	0.3705259586
142	0.3704933647
143	0.3704579291
144	0.3704257769
145	0.3703991649
146	0.3703630902
147	0.3703107929
148	0.370270406
149	0.3702493151
150	0.3701958031
151	0.3701864048
152	0.3701728212
153	0.3701434686
154	0.3701154806
155	0.3700905404
156	0.3700751619
157	0.3700400748
158	0.370006547
159	0.3699878179
160	0.3699791378
161	0.3699760056
162	0.3699458155
163	0.369893941
164	0.3698833249
165	0.3698508057
166	0.3698385935
167	0.3698246766
168	0.3698001519
169	0.3697791126
170	0.3697704882
171	0.369770486
172	0.3697571633
173	0.3697391047
174	0.3697083326
175	0.3696924604
176	0.3696763895
177	0.3696667386
178	0.3696443989
179	0.3696158767
180	0.3695999626
181	0.3695746224
182	0.3695557276
183	0.3695265545
184	0.3695170087
185	0.3695026918
186	0.3694960563
187	0.3694810801
188	0.3694710776
189	0.3694567328
190	0.3694304803
191	0.3694232521
192	0.3694196255
193	0.3694006538
194	0.3693867499
195	0.3693707682
196	0.3693587664
197	0.36934914
198	0.3693384119
199	0.3693381455
200	0.369323024
201	0.3693014343
202	0.3692876802
203	0.3692739894
204	0.3692535453
205	0.3692530643
206	0.3692481574
207	0.3692357977
208	0.3692354533
209	0.3692316958
210	0.3692038993
211	0.3691830733
212	0.3691720079
213	0.3691615071
214	0.3691435085
215	0.3691324057
216	0.3691241703
217	0.3691105947
218	0.3691095284
219	0.3691059741
220	0.3690919773
221	0.3690765598
222	0.3690700268
223	0.3690552875
224	0.3690495068
225	0.3690240869
226	0.3690122806
227	0.3690111033
228	0.3690068394
229	0.3690068391
230	0.3690048088
231	0.3689984381
232	0.3689838049
233	0.3689714546
234	0.368963166
235	0.3689586333
236	0.3689469022
237	0.3689421003
238	0.3689248317
239	0.3689131523
240	0.3689092994
241	0.3688976585
242	0.3688964912
243	0.3688951666
244	0.3688864163
245	0.3688821793
246	0.368882134
247	0.368857629
248	0.368846819
249	0.3688214982
250	0.3688144777
251	0.368810032
252	0.3688060535
253	0.3687722543
254	0.3687669202
255	0.3687518965
256	0.368743368
257	0.3687325925
258	0.3687195939
259	0.3687157405
260	0.3686959366
261	0.3686881178
262	0.3686775924
263	0.3686742109
264	0.3686629999
265	0.3686570248
266	0.3686496001
267	0.3686433456
268	0.3686364576
269	0.3686273885
270	0.3686161847
271	0.3686013269
272	0.3685970315
273	0.3685891657
274	0.3685831837
275	0.3685731955
276	0.3685676299
277	0.3685663896
278	0.3685611178
279	0.3685517237
280	0.3685415702
281	0.3685243039
282	0.3685117957
283	0.3685025981
284	0.3685017545
285	0.368491088
286	0.3684844108
287	0.3684808172
288	0.3684808165
289	0.3684794186
290	0.3684740694
291	0.3684665877
292	0.368445044
293	0.3684449775
294	0.3684418341
295	0.368417373
296	0.3684087966
297	0.3683996717
298	0.3683901507
299	0.3683709093
300	0.3683682393
301	0.3683631831
302	0.3683488749
303	0.3683414093
304	0.3683370456
305	0.3683243876
306	0.3683200794
307	0.3683044436
308	0.3682977829
309	0.3682901307
310	0.3682801255
311	0.3682749394
312	0.3682708359
313	0.3682636065
314	0.3682531253
315	0.3682446823
316	0.3682398478
317	0.3682264357
318	0.3682197404
319	0.3682143713
320	0.3682094033
321	0.368209001
322	0.368204907
323	0.3681972593
324	0.3681915977
325	0.3681891329
326	0.3681805664
327	0.3681733814
328	0.3681688674
329	0.3681617382
330	0.3681603144
331	0.368155132
332	0.3681526233
333	0.3681452379
334	0.3681397595
335	0.3681305982
336	0.368122665
337	0.3681226578
338	0.3681165202
339	0.3681165202
340	0.3681151913
341	0.3681056695
342	0.3680978951
343	0.3680967725
344	0.368084017
345	0.3680755685
346	0.3680672134
347	0.3680560031
348	0.3680515333
349	0.3680454095
350	0.3680406635
351	0.3680327989
352	0.368028444
353	0.3680104599
354	0.3680057323
355	0.36799969
356	0.367996521
357	0.3679940788
358	0.3679926153
359	0.36798819
360	0.3679828908
361	0.3679823132
362	0.3679822503
363	0.3679705175
364	0.3679607577
365	0.367951309
366	0.367946401
367	0.3679400946
368	0.3679379573
369	0.3679355203
370	0.367927879
371	0.3679278523
372	0.3679197891
373	0.3679172193
374	0.3679110053
375	0.3679068621
376	0.3679012046
377	0.3678843664
378	0.367880504
379	0.3678766078
380	0.3678713403
381	0.3678679633
382	0.3678625514
383	0.3678561378
384	0.3678463018
385	0.3678427515
386	0.3678384117
387	0.3678319724
388	0.3678304649
389	0.3678224207
390	0.367818087
391	0.3678086829
