iter	Passed	Remaining
0	24	12243
1	45	11217
2	67	11255
3	89	11063
4	108	10721
5	126	10421
6	143	10115
7	159	9796
8	177	9698
9	190	9351
10	214	9524
11	238	9709
12	254	9524
13	279	9695
14	304	9855
15	325	9835
16	350	9964
17	375	10045
18	396	10048
19	423	10163
20	441	10075
21	470	10224
22	497	10327
23	524	10397
24	558	10607
25	586	10690
26	612	10736
27	637	10754
28	661	10736
29	685	10745
30	710	10756
31	737	10782
32	762	10794
33	787	10795
34	804	10689
35	827	10663
36	850	10646
37	874	10627
38	898	10623
39	923	10623
40	948	10615
41	970	10581
42	993	10557
43	1017	10541
44	1040	10516
45	1062	10485
46	1085	10460
47	1108	10443
48	1131	10413
49	1153	10382
50	1176	10357
51	1198	10329
52	1221	10299
53	1243	10268
54	1265	10240
55	1287	10210
56	1310	10181
57	1332	10156
58	1355	10129
59	1377	10104
60	1400	10076
61	1423	10059
62	1446	10033
63	1468	10003
64	1492	9987
65	1518	9986
66	1544	9980
67	1571	9982
68	1598	9986
69	1624	9978
70	1653	9990
71	1684	10015
72	1706	9984
73	1732	9973
74	1762	9986
75	1789	9982
76	1814	9967
77	1841	9965
78	1870	9970
79	1898	9964
80	1925	9958
81	1951	9948
82	1979	9945
83	2004	9929
84	2031	9919
85	2060	9920
86	2092	9934
87	2116	9908
88	2132	9849
89	2156	9822
90	2179	9795
91	2203	9771
92	2226	9743
93	2248	9712
94	2271	9681
95	2294	9654
96	2316	9622
97	2338	9594
98	2361	9565
99	2383	9535
100	2406	9505
101	2428	9474
102	2446	9429
103	2468	9400
104	2491	9374
105	2514	9345
106	2536	9316
107	2561	9298
108	2584	9272
109	2607	9245
110	2630	9219
111	2654	9195
112	2676	9166
113	2699	9141
114	2723	9117
115	2746	9093
116	2769	9066
117	2792	9039
118	2814	9012
119	2837	8986
120	2860	8960
121	2882	8932
122	2905	8905
123	2927	8878
124	2950	8852
125	2974	8830
126	2997	8804
127	3020	8777
128	3043	8752
129	3066	8727
130	3088	8700
131	3111	8673
132	3133	8647
133	3156	8621
134	3178	8594
135	3201	8569
136	3224	8543
137	3247	8519
138	3270	8493
139	3292	8467
140	3315	8441
141	3338	8417
142	3361	8392
143	3384	8367
144	3407	8341
145	3429	8315
146	3451	8289
147	3474	8264
148	3497	8238
149	3519	8212
150	3542	8187
151	3564	8160
152	3587	8135
153	3609	8110
154	3631	8084
155	3654	8059
156	3679	8038
157	3702	8014
158	3725	7990
159	3750	7969
160	3773	7944
161	3791	7910
162	3815	7888
163	3838	7863
164	3860	7837
165	3883	7813
166	3905	7788
167	3928	7762
168	3951	7738
169	3973	7713
170	3996	7688
171	4004	7636
172	4027	7612
173	4049	7587
174	4072	7562
175	4095	7538
176	4117	7513
177	4139	7488
178	4162	7464
179	4185	7440
180	4207	7415
181	4230	7391
182	4253	7367
183	4275	7342
184	4297	7317
185	4319	7292
186	4341	7267
187	4364	7242
188	4386	7217
189	4408	7193
190	4431	7168
191	4450	7139
192	4473	7115
193	4495	7091
194	4519	7068
195	4541	7044
196	4566	7023
197	4588	6998
198	4610	6974
199	4626	6939
200	4648	6915
201	4673	6894
202	4696	6871
203	4719	6848
204	4743	6825
205	4758	6791
206	4782	6768
207	4805	6746
208	4817	6707
209	4834	6676
210	4858	6654
211	4882	6632
212	4904	6608
213	4926	6584
214	4949	6560
215	4971	6536
216	4995	6514
217	5017	6490
218	5032	6456
219	5056	6435
220	5078	6411
221	5101	6388
222	5123	6364
223	5146	6341
224	5168	6317
225	5191	6293
226	5213	6269
227	5232	6242
228	5251	6214
229	5260	6175
230	5279	6148
231	5303	6126
232	5328	6105
233	5351	6082
234	5373	6059
235	5396	6036
236	5418	6013
237	5440	5989
238	5463	5966
239	5486	5943
240	5507	5919
241	5530	5896
242	5547	5867
243	5558	5831
244	5580	5808
245	5602	5785
246	5616	5753
247	5638	5729
248	5661	5706
249	5686	5686
250	5709	5664
251	5732	5641
252	5755	5619
253	5779	5597
254	5802	5575
255	5825	5552
256	5848	5529
257	5870	5506
258	5893	5484
259	5915	5460
260	5938	5437
261	5960	5414
262	5984	5393
263	6006	5369
264	6029	5346
265	6052	5324
266	6074	5301
267	6097	5278
268	6120	5255
269	6143	5233
270	6166	5211
271	6189	5188
272	6212	5165
273	6234	5142
274	6256	5119
275	6279	5096
276	6301	5073
277	6316	5044
278	6339	5021
279	6363	4999
280	6385	4976
281	6408	4954
282	6431	4931
283	6453	4908
284	6468	4879
285	6490	4856
286	6513	4833
287	6535	4810
288	6544	4777
289	6563	4752
290	6586	4730
291	6608	4707
292	6631	4684
293	6647	4657
294	6669	4634
295	6697	4615
296	6720	4593
297	6744	4571
298	6767	4549
299	6790	4526
300	6813	4504
301	6836	4482
302	6860	4460
303	6882	4437
304	6904	4414
305	6927	4391
306	6948	4368
307	6972	4346
308	6995	4324
309	7018	4301
310	7041	4278
311	7063	4255
312	7085	4232
313	7107	4210
314	7130	4187
315	7152	4164
316	7174	4141
317	7196	4118
318	7219	4096
319	7241	4073
320	7263	4050
321	7281	4025
322	7304	4002
323	7327	3980
324	7350	3957
325	7373	3935
326	7395	3912
327	7419	3890
328	7441	3867
329	7464	3845
330	7486	3822
331	7508	3799
332	7531	3777
333	7554	3754
334	7577	3732
335	7599	3709
336	7622	3686
337	7633	3658
338	7655	3635
339	7663	3606
340	7681	3581
341	7706	3560
342	7730	3538
343	7752	3515
344	7775	3493
345	7798	3470
346	7823	3449
347	7847	3427
348	7870	3405
349	7892	3382
350	7914	3359
351	7937	3337
352	7958	3314
353	7982	3292
354	8004	3269
355	8027	3247
356	8049	3224
357	8071	3201
358	8093	3178
359	8116	3156
360	8138	3133
361	8149	3106
362	8167	3082
363	8189	3059
364	8211	3037
365	8234	3014
366	8256	2992
367	8278	2969
368	8300	2946
369	8320	2923
370	8343	2901
371	8357	2875
372	8379	2853
373	8402	2830
374	8424	2808
375	8447	2785
376	8470	2763
377	8492	2740
378	8514	2718
379	8536	2695
380	8560	2673
381	8584	2651
382	8606	2629
383	8628	2606
384	8651	2584
385	8673	2561
386	8697	2539
387	8723	2518
388	8751	2497
389	8775	2475
390	8798	2452
391	8821	2430
392	8843	2407
393	8865	2385
394	8887	2362
395	8910	2340
396	8932	2317
397	8954	2294
398	8978	2272
399	9001	2250
400	9024	2227
401	9047	2205
402	9069	2182
403	9091	2160
404	9113	2137
405	9136	2115
406	9158	2092
407	9181	2070
408	9203	2047
409	9225	2025
410	9247	2002
411	9269	1979
412	9291	1957
413	9314	1934
414	9328	1910
415	9351	1888
416	9374	1865
417	9397	1843
418	9418	1820
419	9441	1798
420	9463	1775
421	9485	1753
422	9507	1730
423	9530	1708
424	9553	1685
425	9564	1661
426	9586	1638
427	9609	1616
428	9631	1594
429	9654	1571
430	9677	1549
431	9700	1526
432	9715	1503
433	9740	1481
434	9763	1458
435	9787	1436
436	9811	1414
437	9835	1392
438	9858	1369
439	9880	1347
440	9902	1324
441	9924	1302
442	9947	1279
443	9970	1257
444	9993	1235
445	10015	1212
446	10037	1190
447	10059	1167
448	10081	1145
449	10103	1122
450	10125	1100
451	10147	1077
452	10169	1055
453	10192	1032
454	10214	1010
455	10236	987
456	10258	965
457	10280	942
458	10302	920
459	10324	897
460	10347	875
461	10369	852
462	10392	830
463	10413	807
464	10435	785
465	10455	762
466	10477	740
467	10499	717
468	10521	695
469	10544	673
470	10567	650
471	10591	628
472	10614	605
473	10636	583
474	10658	560
475	10682	538
476	10703	516
477	10726	493
478	10750	471
479	10773	448
480	10796	426
481	10819	404
482	10842	381
483	10865	359
484	10887	336
485	10910	314
486	10931	291
487	10954	269
488	10977	246
489	10999	224
490	11021	202
491	11043	179
492	11065	157
493	11087	134
494	11109	112
495	11132	89
496	11155	67
497	11175	44
498	11197	22
499	11216	0
